bar_attire,bar_bestnights,bar_category,bar_dancing,bar_happy,bar_name,bar_nhood,bar_outdoor,bar_parking,bar_phone,bar_reservations,bar_tv,bar_wheelchair,creditCard,num_reviews,num_stars,price_range,6-number_stars,popl index,pop_index2,,,,,,,,,0
N/A,"Mon, Thu",Bars,No,Yes,Sutton Bar Room,Midtown East,No,Street,(212) 980-9850,Yes,Yes,Yes,Yes,37,4.5,$$,1.5,24.66666667,166.5,,,,,,,,,
N/A,"Wed, Fri, Sat",Cocktail Bars,No,Yes,The Hamilton,Manhattan Valley,No,Street,(646) 912-9421,No,No,Yes,Yes,106,4.5,$$,1.5,70.66666667,477,,,,,,,,,
N/A,N/A,Cocktail Bars,N/A,N/A,The Owl’s Tail,Upper West Side,N/A,N/A,(646) 609-3906,N/A,N/A,N/A,Yes,16,5,$$$,1,16,80,,,,,,,,,
Casual,"Tue, Fri, Sat",Bars,No,Yes,District Social,Midtown West,No,Street,(212) 994-9599,Yes,Yes,Yes,Yes,446,4,$$,2,223,1784,,,,,,,,,
N/A,N/A,Cocktail Bars,N/A,N/A,The 18th Room,Chelsea,No,N/A,(646) 559-1671,Yes,N/A,N/A,Yes,18,4.5,$$$,1.5,12,81,,,,,,,,,
N/A,"Thu, Fri, Sat",Cocktail Bars,No,No,The Dead Rabbit,Financial District,No,Street,(646) 422-7906,No,No,No,Yes,1259,4,$$,2,629.5,5036,,,,,,,,,
N/A,"Thu, Fri, Sat",Bars,No,Yes,The Dead Poet,Upper West Side,Yes,Street,(212) 595-5670,No,Yes,N/A,Yes,387,4,$$,2,193.5,1548,,,,,,,,,
Casual,"Fri, Sat, Sun",Cocktail Bars,No,No,Tanner Smiths,Midtown West,No,Street,(646) 590-2034,Yes,Yes,Yes,Yes,1251,4,$$,2,625.5,5004,,,,,,,,,
Casual,N/A,Beer Gardens,N/A,Yes,Clinton Hall,Midtown West,No,N/A,(212) 695-0036,No,Yes,Yes,Yes,13,5,$$,1,13,65,,,,,,,,,
N/A,"Thu, Fri, Sat",Bars,No,N/A,Frying Pan,Midtown West,Yes,N/A,(212) 989-6363,Yes,No,Yes,Yes,1388,4,$$,2,694,5552,,,,,,,,,
N/A,N/A,Cocktail Bars,No,Yes,Stay Gold,Kips Bay,Yes,Street,(917) 261-7441,Yes,No,No,Yes,25,4,$$,2,12.5,100,,,,,,,,,
Casual,Sat,Italian,No,No,Da Capo Columbus,Upper West Side,No,N/A,(646) 882-0197,Yes,No,No,Yes,76,4.5,$$,1.5,50.66666667,342,,,,,,,,,
Casual,"Wed, Thu, Fri",Gastropubs,Yes,Yes,5th & Mad,Midtown East,No,Street,(212) 725-2353,Yes,Yes,Yes,Yes,174,3.5,$$,2.5,69.6,609,,,,,,,,,
Casual,Thu,Irish Pub,No,Yes,Gramercy Ale House,Gramercy,No,Garage,(212) 260-1129,N/A,Yes,Yes,Yes,66,3.5,$$,2.5,26.4,231,,,,,,,,,
N/A,N/A,Burgers,N/A,Yes,Dive 106,Manhattan Valley,N/A,N/A,(917) 965-2840,No,Yes,N/A,Yes,15,4.5,$$,1.5,10,67.5,,,,,,,,,
N/A,N/A,Bars,N/A,N/A,Mekelburg’s Domino,Williamsburg - South Side,N/A,N/A,(929) 457-6315,No,N/A,N/A,N/A,4,5,$,1,4,20,,,,,,,,,
N/A,N/A,American (New),N/A,Yes,Harwood on Hudson,West Village,N/A,N/A,(646) 590-0640,Yes,N/A,Yes,Yes,27,4.5,$$$,1.5,18,121.5,,,,,,,,,
N/A,N/A,Pubs,No,Yes,Gaf East,"Yorkville, Upper East Side",Yes,N/A,(212) 722-6300,No,Yes,N/A,Yes,24,4,$,2,12,96,,,,,,,,,
Casual,N/A,Australian,No,Yes,Burke & Wills,Upper West Side,No,Street,(646) 823-9251,Yes,No,N/A,Yes,372,4,$$$,2,186,1488,,,,,,,,,
Casual,N/A,Pubs,N/A,N/A,Ryan’s Daughter,"Yorkville, Upper East Side",No,Street,(212) 628-2613,No,Yes,N/A,Yes,219,4,$$,2,109.5,876,,,,,,,,,
N/A,N/A,Italian,N/A,Yes,A Summer Day Café,TriBeCa,No,N/A,(646) 882-0420,Yes,Yes,Yes,Yes,19,3.5,$$,2.5,7.6,66.5,,,,,,,,,
Casual,Thu,Irish,No,Yes,John Sullivan’s,Midtown West,No,Street,(212) 993-7223,Yes,Yes,Yes,Yes,141,4,$$,2,70.5,564,,,,,,,,,
N/A,"Wed, Thu, Fri",Lounges,N/A,Yes,Vol de Nuit,Greenwich Village,Yes,Street,(212) 982-3388,No,No,N/A,Yes,474,4,$$,2,237,1896,,,,,,,,,
Casual,"Thu, Fri, Sat",Irish,No,N/A,Stout NYC,Midtown West,No,"Garage, Street",(212) 629-6191,Yes,Yes,N/A,Yes,875,3.5,$$,2.5,350,3062.5,,,,,,,,,
N/A,N/A,Cocktail Bars,No,No,Slowly Shirley,West Village,No,Street,(212) 243-2827,Yes,No,N/A,Yes,86,3.5,$$,2.5,34.4,301,,,,,,,,,
Casual,"Thu, Fri, Sat",Bars,Yes,Yes,The Mean Fiddler,"Theater District, Midtown West",No,Street,(212) 354-2950,Yes,Yes,Yes,Yes,392,4,$$,2,196,1568,,,,,,,,,
N/A,N/A,Lounges,No,Yes,Azul On the Rooftop,South Village,Yes,N/A,(212) 608-4848,Yes,No,N/A,Yes,41,3,$$$,3,13.66666667,123,,,,,,,,,
Casual,N/A,American (New),No,Yes,The Wooly Public,"Financial District, TriBeCa",No,N/A,(212) 571-2930,Yes,No,N/A,Yes,57,4,$$,2,28.5,228,,,,,,,,,
N/A,"Thu, Fri, Sat",Pubs,No,N/A,Bloom’s Tavern,Midtown East,No,"Garage, Street",(212) 308-9400,Yes,Yes,N/A,Yes,108,3.5,$$,2.5,43.2,378,,,,,,,,,
Casual,"Thu, Fri, Sat",Pubs,N/A,N/A,George Keeley,Upper West Side,No,Street,(212) 873-0251,No,Yes,N/A,Yes,320,4,$$,2,160,1280,,,,,,,,,
N/A,Sun,Cocktail Bars,N/A,Yes,Botte Bar,Astoria,N/A,N/A,(718) 433-9079,N/A,N/A,N/A,N/A,21,4.5,$$,1.5,14,94.5,,,,,,,,,
N/A,"Thu, Fri, Sat",Bars,No,Yes,The Craftsman,Harlem,No,Street,(212) 933-0602,No,No,N/A,Yes,104,4,$$,2,52,416,,,,,,,,,
N/A,"Thu, Fri, Sat",Lounges,No,N/A,Pioneers,"Chelsea, Midtown West",No,Street,(212) 714-2222,No,Yes,N/A,Yes,233,3.5,$$,2.5,93.2,815.5,,,,,,,,,
Casual,"Thu, Fri, Sat",Bars,No,No,Pier A Harbor House,Battery Park,Yes,Street,(212) 785-0153,Yes,Yes,Yes,Yes,571,3,$$,3,190.3333333,1713,,,,,,,,,
N/A,N/A,Bars,No,Yes,Park Bar,"Union Square, Flatiron",No,Street,(212) 367-9085,No,No,Yes,Yes,166,3.5,$$,2.5,66.4,581,,,,,,,,,
N/A,"Thu, Fri, Sat",Cocktail Bars,No,No,The Garret,West Village,No,N/A,(212) 675-6157,No,No,N/A,Yes,201,3.5,$$,2.5,80.4,703.5,,,,,,,,,
Casual,"Thu, Sat",Seafood,No,Yes,Hudson’s At Pier 81,Hell's Kitchen,Yes,"Garage, Private Lot",(212) 630-8840,Yes,No,Yes,Yes,105,4,$$,2,52.5,420,,,,,,,,,
N/A,"Thu, Fri, Sat",Lounges,Yes,Yes,On Now Lounge,Midtown West,No,N/A,(646) 863-2352,Yes,Yes,No,Yes,52,4,$$,2,26,208,,,,,,,,,
Casual,"Fri, Sat, Sun",American (New),No,Yes,The Smith,Midtown East,No,Street,(212) 644-2700,Yes,No,N/A,Yes,2137,4,$$,2,1068.5,8548,,,,,,,,,
N/A,N/A,Cocktail Bars,No,Yes,The Mockingbird,"Alphabet City, East Village",No,N/A,(646) 882-0593,Yes,Yes,N/A,Yes,21,4,$$,2,10.5,84,,,,,,,,,
Casual,"Thu, Fri, Sat",Sports Bars,No,Yes,McGettigan’s NYC,Midtown West,Yes,Street,(212) 913-0533,Yes,Yes,Yes,Yes,184,4,$$,2,92,736,,,,,,,,,
N/A,"Wed, Thu, Fri",Cocktail Bars,No,No,The Campbell,Midtown East,Yes,Street,(212) 297-1781,Yes,No,Yes,Yes,819,4,$$$,2,409.5,3276,,,,,,,,,
N/A,"Thu, Fri, Sat",Coffee & Tea,No,Yes,Five & Dime,"Civic Center, Financial District, TriBeCa",No,N/A,(212) 433-3463,No,Yes,Yes,Yes,44,4.5,$$,1.5,29.33333333,198,,,,,,,,,
Casual,"Thu, Fri, Sat",Pubs,No,N/A,Tavern29,"Flatiron, Midtown East",Yes,"Garage, Street",(212) 685-4422,Yes,Yes,N/A,Yes,784,3.5,$$,2.5,313.6,2744,,,,,,,,,
Casual,N/A,Pubs,No,N/A,Toad Hall,SoHo,No,N/A,(212) 431-8145,No,Yes,N/A,Yes,89,4,$$,2,44.5,356,,,,,,,,,
N/A,N/A,Cafes,N/A,N/A,Noted Tribeca,TriBeCa,N/A,N/A,(636) 398-7807,N/A,N/A,N/A,N/A,9,5,$$,1,9,45,,,,,,,,,
N/A,N/A,Irish Pub,N/A,Yes,Grace’s,West Village,No,N/A,(646) 870-0333,Yes,N/A,Yes,Yes,8,4.5,$$,1.5,5.333333333,36,,,,,,,,,
N/A,"Thu, Fri, Sat",Cocktail Bars,No,No,Cedar Local,Financial District,No,"Garage, Street",(212) 344-3467,Yes,No,No,Yes,108,4,$$,2,54,432,,,,,,,,,
N/A,N/A,American (New),N/A,Yes,Wanderlust,Midtown East,N/A,N/A,(646) 596-7855,N/A,N/A,N/A,Yes,29,3.5,$$,2.5,11.6,101.5,,,,,,,,,
Casual,"Mon, Fri, Sun",Pubs,No,Yes,The Shakespeare,"Murray Hill, Midtown East",Yes,"Garage, Street",(646) 837-6779,Yes,Yes,Yes,Yes,318,4,$$,2,159,1272,,,,,,,,,
N/A,"Thu, Fri, Sat",Cocktail Bars,No,Yes,Roof at Park South,Flatiron,Yes,N/A,(212) 204-5222,No,No,Yes,Yes,149,3.5,$$$,2.5,59.6,521.5,,,,,,,,,
N/A,"Thu, Fri, Sat",Whiskey Bars,N/A,Yes,The Whiskey Ward,Lower East Side,No,Street,(212) 477-2998,No,Yes,Yes,Yes,280,4,$$,2,140,1120,,,,,,,,,
Casual,"Thu, Fri, Sat",Bars,N/A,N/A,Rattle and Hum,Midtown East,No,Street,(212) 481-1586,Yes,Yes,N/A,Yes,679,4,$$,2,339.5,2716,,,,,,,,,
Casual,N/A,Cocktail Bars,No,Yes,The Gray Mare,East Village,Yes,N/A,(212) 388-0662,Yes,Yes,N/A,Yes,49,4.5,$$,1.5,32.66666667,220.5,,,,,,,,,
Casual,N/A,Bars,N/A,Yes,Mother’s Ruin,Nolita,No,Street,(212) 219-0942,No,No,N/A,Yes,406,3.5,$$,2.5,162.4,1421,,,,,,,,,
N/A,N/A,Whiskey Bars,N/A,N/A,Blue Bar,Midtown West,No,Street,(212) 840-6800,Yes,No,N/A,Yes,141,3.5,$$$,2.5,56.4,493.5,,,,,,,,,
Casual,N/A,Korean,N/A,N/A,Soju Haus,"Koreatown, Midtown East, Midtown West",No,Street,(212) 213-2177,Yes,No,N/A,Yes,456,4,$$,2,228,1824,,,,,,,,,
N/A,"Mon, Tue, Wed",Cocktail Bars,No,N/A,Amor y Amargo,"East Village, Alphabet City",No,Street,(212) 614-6818,No,No,N/A,Yes,425,4.5,$$,1.5,283.3333333,1912.5,,,,,,,,,
N/A,"Thu, Fri, Sat",Cocktail Bars,No,N/A,Subject,Lower East Side,No,Street,(646) 422-7898,Yes,No,N/A,Yes,145,4.5,$$,1.5,96.66666667,652.5,,,,,,,,,
Casual,"Fri, Sat, Sun",Pubs,N/A,Yes,The Winslow,Gramercy,Yes,Street,(212) 777-7717,Yes,Yes,N/A,Yes,444,4.5,$$,1.5,296,1998,,,,,,,,,
N/A,"Thu, Fri, Sat",Cocktail Bars,No,Yes,Sweetwater Social,Greenwich Village,No,"Garage, Street",(212) 253-0477,Yes,Yes,No,Yes,115,3.5,$$,2.5,46,402.5,,,,,,,,,
N/A,N/A,Cocktail Bars,N/A,Yes,Beacon Bar,Upper West Side,No,N/A,(212) 787-1100,Yes,Yes,N/A,Yes,47,3.5,$$,2.5,18.8,164.5,,,,,,,,,
Casual,"Wed, Thu, Sat",Irish,N/A,N/A,The Beekman Pub,Financial District,No,Street,(212) 732-7333,Yes,Yes,N/A,Yes,100,3,$$,3,33.33333333,300,,,,,,,,,
N/A,N/A,Cocktail Bars,No,No,Banzarbar,Lower East Side,No,N/A,(212) 420-0012,Yes,No,N/A,Yes,13,5,$$$,1,13,65,,,,,,,,,
Casual,"Wed, Thu, Sat",Cocktail Bars,No,No,Bar Goto,Lower East Side,No,Street,(212) 475-4411,No,No,N/A,Yes,176,4.5,$$,1.5,117.3333333,792,,,,,,,,,
Casual,"Thu, Fri, Sat",Cocktail Bars,No,Yes,Ted’s Corner Tavern,"Murray Hill, Midtown East",No,Garage,(212) 689-2676,No,No,N/A,Yes,169,4.5,$$,1.5,112.6666667,760.5,,,,,,,,,
N/A,"Thu, Fri, Sat",Cocktail Bars,No,No,Maison Pickle,Upper West Side,Yes,Street,(212) 496-9100,Yes,No,Yes,Yes,568,4,$$,2,284,2272,,,,,,,,,
N/A,"Wed, Fri, Sat",Cocktail Bars,No,Yes,Good Night Sonny,East Village,No,Street,(646) 692-3254,No,No,Yes,Yes,213,4,$$,2,106.5,852,,,,,,,,,
N/A,"Wed, Thu, Fri",Bars,No,No,Copper & Oak,Lower East Side,Yes,Street,(212) 460-5546,No,No,Yes,Yes,82,4.5,$$$,1.5,54.66666667,369,,,,,,,,,
N/A,"Thu, Fri, Sat",Dive Bars,No,Yes,Billymark’s West,"Chelsea, Midtown West",No,"Garage, Street",(347) 986-3866,No,Yes,N/A,No,158,3.5,$,2.5,63.2,553,,,,,,,,,
N/A,N/A,American (New),N/A,Yes,Doyler’s 37,"Midtown West, Hell's Kitchen",Yes,Garage,(917) 409-5065,Yes,Yes,Yes,Yes,5,3.5,$$,2.5,2,17.5,,,,,,,,,
N/A,"Thu, Fri, Sat",Cocktail Bars,Yes,Yes,Ascent Lounge,Midtown West,No,N/A,(212) 823-9770,Yes,Yes,Yes,Yes,42,4,$$$,2,21,168,,,,,,,,,
Casual,N/A,American (Traditional),No,Yes,TGA NYC,"Midtown West, Hell's Kitchen",Yes,N/A,(212) 651-4842,Yes,Yes,Yes,Yes,39,4,$$,2,19.5,156,,,,,,,,,
Casual,"Fri, Sat, Sun",Bars,No,Yes,The Brazen Tavern,"Midtown West, Hell's Kitchen, Theater District",Yes,Street,(646) 678-5989,Yes,Yes,Yes,Yes,233,4.5,$$,1.5,155.3333333,1048.5,,,,,,,,,
N/A,N/A,Pubs,N/A,N/A,Perdition,"Hell's Kitchen, Midtown West",No,Street,(212) 582-5660,N/A,Yes,N/A,Yes,85,4,$$,2,42.5,340,,,,,,,,,
N/A,"Thu, Fri, Sat",Lounges,No,N/A,Refinery Rooftop,Midtown West,Yes,Street,(646) 664-0372,Yes,No,N/A,Yes,665,3.5,$$$,2.5,266,2327.5,,,,,,,,,
N/A,"Thu, Fri, Sat",Bars,No,N/A,Wood and Ales,West Village,No,Street,(212) 206-0430,Yes,Yes,N/A,Yes,128,4,$,2,64,512,,,,,,,,,
Casual,"Fri, Sat, Sun",Pubs,No,N/A,Smithfield Hall,Chelsea,No,"Garage, Street",(212) 929-9677,Yes,Yes,N/A,Yes,419,4,$$,2,209.5,1676,,,,,,,,,
N/A,"Thu, Fri, Sat",Dive Bars,N/A,Yes,The Duck,East Harlem,No,Street,(212) 831-3464,No,Yes,N/A,No,93,3.5,$,2.5,37.2,325.5,,,,,,,,,
Casual,N/A,Cocktail Bars,No,No,Bar Moga,Greenwich Village,No,N/A,(929) 399-5853,No,No,N/A,Yes,99,4,$$,2,49.5,396,,,,,,,,,
N/A,N/A,Venues & Event Spaces,N/A,N/A,Duende,West Village,N/A,N/A,(212) 463-0090,N/A,N/A,N/A,N/A,2,5,$$$,1,2,10,,,,,,,,,
N/A,Wed,Bars,No,Yes,GENUINE Liquorette,Little Italy,No,N/A,(646) 726-4633,No,No,N/A,Yes,112,4,$$,2,56,448,,,,,,,,,
N/A,N/A,Desserts,N/A,No,The Dessert Bar,Flatiron,N/A,N/A,(929) 423-8880,Yes,N/A,N/A,Yes,16,4.5,$$,1.5,10.66666667,72,,,,,,,,,
N/A,N/A,Cocktail Bars,Yes,No,Good Behavior,"Flatiron, Midtown West",N/A,N/A,(212) 213-4429,Yes,N/A,N/A,Yes,11,4,$$,2,5.5,44,,,,,,,,,
Casual,"Thu, Fri, Sat",American (New),No,N/A,Parker & Quinn,Midtown West,No,Street,(212) 729-0277,Yes,Yes,N/A,Yes,1109,4,$$,2,554.5,4436,,,,,,,,,
Casual,N/A,Bars,N/A,N/A,The Ear Inn,South Village,No,Street,(212) 226-9060,No,Yes,N/A,Yes,363,4,$$,2,181.5,1452,,,,,,,,,
Casual,Tue,Sports Bars,Yes,Yes,Offside Tavern,Chelsea,No,Street,(917) 388-3956,Yes,Yes,Yes,Yes,60,4.5,$,1.5,40,270,,,,,,,,,
N/A,N/A,Lounges,N/A,Yes,Anotheroom,TriBeCa,Yes,Street,(212) 226-1418,No,No,N/A,Yes,148,4,$$,2,74,592,,,,,,,,,
N/A,"Wed, Thu, Sat",Wine Bars,No,N/A,Lelabar,West Village,No,Street,(212) 206-0594,No,No,N/A,Yes,340,4,$$,2,170,1360,,,,,,,,,
N/A,N/A,Bars,N/A,No,Bar Seine,Upper East Side,No,N/A,(212) 606-4647,Yes,No,N/A,Yes,7,3.5,$$$,2.5,2.8,24.5,,,,,,,,,
N/A,N/A,Coffee & Tea,N/A,Yes,Stella & Fly,"Yorkville, Upper East Side",No,Street,(646) 678-3947,Yes,No,No,Yes,17,5,$,1,17,85,,,,,,,,,
N/A,"Thu, Fri, Sat",Dive Bars,Yes,Yes,Snafu,Midtown East,No,Street,(212) 317-9100,Yes,Yes,N/A,Yes,235,3.5,$,2.5,94,822.5,,,,,,,,,
N/A,"Thu, Fri, Sat",Sports Bars,N/A,Yes,Whiskey Trader,Midtown West,No,Street,(212) 582-2223,Yes,Yes,No,Yes,203,3.5,$$,2.5,81.2,710.5,,,,,,,,,
N/A,"Fri, Sat, Sun",Cocktail Bars,No,No,Mace,"Alphabet City, East Village",No,N/A,(347) 866-7739,No,No,Yes,Yes,144,4.5,$$,1.5,96,648,,,,,,,,,
Casual,"Thu, Fri, Sat",Irish,No,Yes,The Milton,"Yorkville, Upper East Side",Yes,Street,(212) 369-1900,Yes,Yes,Yes,Yes,339,4,$$,2,169.5,1356,,,,,,,,,
Casual,"Fri, Sat, Sun",Cocktail Bars,No,N/A,Harding’s,Flatiron,No,"Garage, Street",(212) 600-2105,Yes,Yes,N/A,Yes,309,4,$$,2,154.5,1236,,,,,,,,,
N/A,N/A,Beer Bar,N/A,Yes,Proletariat,"East Village, Alphabet City",No,Street,(212) 777-6707,No,No,N/A,Yes,275,4,$$,2,137.5,1100,,,,,,,,,
N/A,N/A,Bars,N/A,Yes,Tom & Jerry’s,NoHo,No,Street,(212) 260-5045,N/A,Yes,N/A,No,244,4,$$,2,122,976,,,,,,,,,
N/A,N/A,Bars,Yes,Yes,High Bar NYC,"Midtown West, Theater District, Hell's Kitchen",Yes,N/A,(212) 607-8888,No,Yes,N/A,Yes,20,3,$$,3,6.666666667,60,,,,,,,,,
Casual,"Wed, Thu, Sat",Bars,N/A,Yes,Lion’s Head Tavern,Manhattan Valley,No,Street,(212) 866-1030,No,Yes,N/A,Yes,194,4,$,2,97,776,,,,,,,,,
Casual,N/A,Tapas/Small Plates,No,Yes,Bubo,"Murray Hill, Midtown East",Yes,Garage,(212) 532-3300,No,No,N/A,Yes,120,4.5,$$$,1.5,80,540,,,,,,,,,
N/A,"Thu, Fri, Sat",Bars,Yes,N/A,Brass Monkey,"Meatpacking District, West Village",Yes,Street,(212) 675-6686,No,Yes,N/A,Yes,716,3,$$,3,238.6666667,2148,,,,,,,,,
Dressy,"Thu, Fri, Sat",Lounges,No,N/A,The Flatiron Room,Flatiron,No,Street,(212) 725-3860,Yes,No,N/A,Yes,681,4.5,$$$,1.5,454,3064.5,,,,,,,,,
N/A,"Fri, Sat",Cocktail Bars,No,Yes,The Garret,"East Village, Alphabet City",No,N/A,(212) 228-6231,No,No,N/A,Yes,72,3.5,$$,2.5,28.8,252,,,,,,,,,
N/A,N/A,Lounges,N/A,N/A,Bar Thalia,Upper West Side,No,Street,(646) 597-7340,No,No,Yes,Yes,24,4,$$,2,12,96,,,,,,,,,
N/A,N/A,Lounges,N/A,N/A,Blue Ribbon Hi-Bar,"Hell's Kitchen, Midtown West",Yes,N/A,(212) 397-0404,No,N/A,N/A,Yes,5,4,$$,2,2.5,20,,,,,,,,,
N/A,N/A,Dive Bars,No,N/A,Dive 75,Upper West Side,No,Street,(212) 362-7518,No,Yes,N/A,Yes,249,3.5,$$,2.5,99.6,871.5,,,,,,,,,
Dressy,"Thu, Sat, Sun",American (Traditional),No,No,The Polo Bar,Midtown East,No,Street,(212) 207-8562,Yes,No,N/A,Yes,327,4,$$$,2,163.5,1308,,,,,,,,,
Casual,"Wed, Thu, Fri",Cocktail Bars,No,Yes,Dante,Greenwich Village,Yes,N/A,(212) 982-5275,Yes,No,No,Yes,205,4,$$,2,102.5,820,,,,,,,,,
N/A,N/A,Bars,No,Yes,FERNS,East Village,No,N/A,(646) 998-5034,Yes,No,Yes,Yes,43,4.5,$$,1.5,28.66666667,193.5,,,,,,,,,
N/A,N/A,Cocktail Bars,N/A,N/A,The Dancer,Lower East Side,N/A,N/A,(646) 876-1174,N/A,N/A,N/A,N/A,5,5,$$,1,5,25,,,,,,,,,
N/A,N/A,Wine Bars,No,Yes,Evening Bar,TriBeCa,No,N/A,(212) 587-7000,No,No,N/A,Yes,15,4.5,$$$,1.5,10,67.5,,,,,,,,,
N/A,"Wed, Thu, Fri",Bars,No,Yes,Gaf West,"Hell's Kitchen, Midtown West",No,Street,(212) 307-7536,No,Yes,N/A,Yes,83,4,$,2,41.5,332,,,,,,,,,
Casual,Sat,Dive Bars,No,Yes,The Hard Swallow,East Village,No,Street,(212) 256-0124,Yes,Yes,Yes,Yes,32,4.5,$,1.5,21.33333333,144,,,,,,,,,
Casual,"Wed, Thu, Sat",American (Traditional),No,Yes,Park Avenue Tavern,"Murray Hill, Midtown East",No,Street,(212) 867-4484,Yes,Yes,Yes,Yes,643,4,$$,2,321.5,2572,,,,,,,,,
N/A,"Tue, Wed, Thu",Lounges,No,N/A,Death & Co,"East Village, Alphabet City",No,Street,(212) 388-0882,No,No,N/A,Yes,1367,4,$$$,2,683.5,5468,,,,,,,,,
N/A,N/A,Cocktail Bars,N/A,Yes,The Blue Rooftop,"Murray Hill, Midtown East",Yes,Street,(646) 838-9498,Yes,No,Yes,Yes,21,3.5,$$,2.5,8.4,73.5,,,,,,,,,
Casual,N/A,Bars,N/A,N/A,Carlow East,Upper East Side,No,Street,(212) 744-6397,No,Yes,N/A,Yes,80,4,$$,2,40,320,,,,,,,,,
N/A,"Wed, Fri, Sat",Dive Bars,N/A,N/A,Clockwork Bar,"Lower East Side, Chinatown",No,"Valet, Street",(212) 677-4545,No,No,N/A,Yes,67,4,$,2,33.5,268,,,,,,,,,
Casual,N/A,British,N/A,N/A,The Spotted Dog,Upper East Side,Yes,Street,(646) 649-5331,Yes,Yes,Yes,Yes,90,4,$$,2,45,360,,,,,,,,,
N/A,N/A,Cocktail Bars,No,Yes,Due West,West Village,N/A,Street,(646) 687-4609,No,Yes,N/A,Yes,53,4,$$$,2,26.5,212,,,,,,,,,
N/A,Fri,Wine Bars,No,Yes,142 Sullivan,South Village,Yes,N/A,(212) 477-2404,No,No,Yes,Yes,34,4.5,$$,1.5,22.66666667,153,,,,,,,,,
N/A,N/A,Pubs,No,Yes,The Woodlot,"Theater District, Hell's Kitchen, Midtown West",Yes,N/A,(212) 974-2003,Yes,No,N/A,Yes,32,4,$$,2,16,128,,,,,,,,,
Casual,"Fri, Sat, Sun",Bars,No,Yes,The Flying Cock,"Murray Hill, Kips Bay, Midtown East",Yes,Street,(212) 689-6900,Yes,Yes,Yes,Yes,354,4.5,$$,1.5,236,1593,,,,,,,,,
N/A,N/A,Cocktail Bars,No,Yes,Underballs,Chelsea,No,N/A,(212) 257-4363,N/A,No,N/A,Yes,11,3.5,$$,2.5,4.4,38.5,,,,,,,,,
Casual,"Thu, Fri, Sat",Dive Bars,No,N/A,Dive Bar,Upper West Side,Yes,Street,(212) 749-4358,No,Yes,N/A,Yes,409,4,$$,2,204.5,1636,,,,,,,,,
N/A,N/A,Cocktail Bars,N/A,N/A,The Dakota Bar,Upper West Side,Yes,Street,(212) 787-0700,Yes,Yes,N/A,Yes,180,3.5,$$,2.5,72,630,,,,,,,,,
N/A,"Tue, Fri, Sat",Dive Bars,No,Yes,Johnny’s Bar,West Village,No,Street,(212) 741-5279,No,Yes,N/A,Yes,225,4,$,2,112.5,900,,,,,,,,,
N/A,N/A,Steakhouses,N/A,No,Holy Ground,TriBeCa,No,N/A,(646) 882-0666,Yes,No,N/A,Yes,23,4.5,$$,1.5,15.33333333,103.5,,,,,,,,,
N/A,N/A,American (New),N/A,N/A,Nightingale,West Village,No,N/A,(646) 429-8153,Yes,No,N/A,Yes,29,4.5,$$,1.5,19.33333333,130.5,,,,,,,,,
N/A,N/A,Cocktail Bars,No,Yes,LOCL Bar,Upper West Side,No,N/A,(212) 362-1100,No,Yes,Yes,Yes,60,3,$$,3,20,180,,,,,,,,,
N/A,Thu,Sports Bars,No,Yes,Albion,"Kips Bay, Murray Hill, Midtown East",Yes,N/A,(212) 679-6716,No,Yes,N/A,Yes,94,4.5,$$,1.5,62.66666667,423,,,,,,,,,
Casual,N/A,Cocktail Bars,Yes,No,The Crown,Chinatown,Yes,Street,(646) 630-8057,No,No,Yes,Yes,102,3.5,$$,2.5,40.8,357,,,,,,,,,
N/A,N/A,Lounges,No,N/A,Flatiron Lounge,Flatiron,No,Street,(212) 727-7741,Yes,No,N/A,Yes,546,4,$$$,2,273,2184,,,,,,,,,
N/A,N/A,French,N/A,N/A,Le Prive,"Hell's Kitchen, Midtown West",Yes,N/A,(212) 837-2795,Yes,Yes,Yes,Yes,41,4.5,$$,1.5,27.33333333,184.5,,,,,,,,,
N/A,N/A,Bars,N/A,Yes,Swift,NoHo,No,Street,(212) 260-3600,No,No,N/A,Yes,351,4,$$,2,175.5,1404,,,,,,,,,
N/A,"Thu, Fri, Sat",Dive Bars,N/A,N/A,Rudy’s Bar & Grill,"Midtown West, Hell's Kitchen, Theater District",Yes,Street,(646) 707-0890,No,Yes,N/A,No,994,4,$,2,497,3976,,,,,,,,,
N/A,N/A,Cocktail Bars,No,No,Straylight,"Chinatown, Civic Center",No,Street,(646) 590-2111,No,No,No,Yes,18,4.5,$$,1.5,12,81,,,,,,,,,
N/A,"Thu, Fri, Sat",Irish Pub,No,N/A,Peter Dillon’s,Midtown East,No,"Garage, Street",(212) 300-4091,No,Yes,N/A,Yes,67,4,$,2,33.5,268,,,,,,,,,
Casual,"Fri, Sat, Sun",Bars,No,N/A,Upright Brew House,West Village,Yes,Street,(212) 810-9944,No,Yes,N/A,Yes,209,4,$$,2,104.5,836,,,,,,,,,
Casual,"Thu, Fri, Sat",Lounges,No,Yes,Russian Vodka Room,"Theater District, Midtown West",No,Street,(212) 307-5835,Yes,No,N/A,Yes,508,4,$$,2,254,2032,,,,,,,,,
Casual,N/A,Sports Bars,No,N/A,Turnmill,Flatiron,Yes,Street,(646) 524-6060,Yes,Yes,N/A,Yes,128,3.5,$$,2.5,51.2,448,,,,,,,,,
